symbol,name
AFFLE,Affle 3i Limited
AFFORDABLE,Affordable Robotic & Automation Limited
AFIL,Akme Fintrade (India) Limited
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Industrial Corporation Limited
AGARWALEYE,Dr. Agarwal's Health Care Limited
AGI,AGI Greenpac Limited
AGIIL,Agi Infra Limited
AGL,Allcargo Global Limited
AGRITECH,Agri-Tech (India) Limited
AGROPHOS,Agro Phos India Limited
AHCL,Anlon Healthcare Limited
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AIAENG,AIA Engineering Limited
AIIL,Authum Investment & Infrastructure Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam limited
AJANTPHARM,Ajanta Pharma Limited
AJAXENGG,Ajax Engineering Limited
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKCAPIT,AK Capital Services Limited
AKG,Akg Exim Limited
AKI,AKI India Limited
AKSHAR,Akshar Spintex Limited
AKUMS,Akums Drugs and Pharmaceuticals Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
ALFREDHE,Alfred Herbert India Limited
ALGOQUANT,Algoquant Fintech Limited
ALICON,Alicon Castalloy Limited
ALIVUS,Alivus Life Sciences Limited
ALKALI,Alkali Metals Limited
ALKEM,Alkem Laboratories Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
ALLCARGO,Allcargo Logistics Limited
ALLDIGI,Alldigi Tech Limited
ALLTIME,All Time Plastics Limited
ALMONDZ,Almondz Global Securities Limited
ALOKINDS,Alok Industries Limited
ALPA,Alpa Laboratories Limited
ALPINETEX,Alpine Texworld Limited
ALUFLUOR,Alufluoride Limited
AMAGI,Amagi Media Labs Limited
AMAL,Amal Limited
AMARJOTHI,Amarjothi Spinning Mills Limited
AMBER,Amber Enterprises India Limited
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
AMBIKCO,Ambika Cotton Mills Limited
AMBUJACEM,Ambuja Cements Limited
AMDIND,AMD Industries Limited
AMJLAND,Amj Land Holdings Limited
AMNPLST,Amines & Plasticizers Limited
AMRUTANJAN,Amrutanjan Health Care Limited
ANANDRATHI,Anand Rathi Wealth Limited
ANANTRAJ,Anant Raj Limited
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRSUGAR,The Andhra Sugars Limited
ANDREWYU,Andrew Yule & Company Limited
ANGELONE,Angel One Limited
ANIKINDS,Anik Industries Limited
ANMOL,Anmol India Limited
ANNAPURNA,Annapurna Swadisht Limited
ANSALBU,Ansal Buildwell Limited
ANTELOPUS,Antelopus Selan Energy Limited
ANTGRAPHIC,Antarctica Limited
ANTHEM,Anthem Biosciences Limited
ANUHPHR,Anuh Pharma Limited
ANUP,The Anup Engineering Limited
ANURAS,Anupam Rasayan India Limited
APARINDS,Apar Industries Limited
APCL,Anjani Portland Cement Limited
APCOTEXIND,Apcotex Industries Limited
APEX,Apex Frozen Foods Limited
APLAPOLLO,APL Apollo Tubes Limited
APLLTD,Alembic Pharmaceuticals Limited
APOLLO,Apollo Micro Systems Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOPIPE,Apollo Pipes Limited
APOLLOTYRE,Apollo Tyres Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
APOORVA,Apoorva Leasing Finance and Investment Company Limited
APTUS,Aptus Value Housing Finance India Limited
AQYLON,Aqylon Nexus Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARCL,ARCL Organics Limited
ARDEE,Ardee Industries Limited
ARE&M,Amara Raja Energy & Mobility Limited
ARENTERP,Rajdarshan Industries Limited
ARFIN,Arfin India Limited
ARIHANT,Arihant Foundations & Housing Limited
ARIHANTCAP,Arihant Capital Markets Limited
ARIHANTSUP,Arihant Superstructures Limited
ARIS,Arisinfra Solutions Limited
ARKADE,Arkade Developers Limited
ARMANFIN,Arman Financial Services Limited
AROGRANITE,Aro Granite Industries Limited
ARSSBL,Anand Rathi Share and Stock Brokers Limited
ARTEMISMED,Artemis Medicare Services Limited
ARTNIRMAN,Art Nirman Limited
ARVEE,Arvee Laboratories (India) Limited
ARVIND,Arvind Limited
ARVINDFASN,Arvind Fashions Limited
ARVSMART,Arvind SmartSpaces Limited
ARYAMAN,Aryaman Financial Services Limited
ASAHIINDIA,Asahi India Glass Limited
ASAL,Automotive Stampings and Assemblies Limited
ASALCBR,Associated Alcohols & Breweries Ltd.
ASHAPURMIN,Ashapura Minechem Limited
ASHIANA,Ashiana Housing Limited
ASHIMASYN,Ashima Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKAMET,Ashoka Metcast Limited
ASHOKLEY,Ashok Leyland Limited
ASIANENE,Asian Energy Services Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASIANTNE,Asian Tea & Exports Limited
ASKAUTOLTD,ASK Automotive Limited
ASPINWALL,Aspinwall and Company Limited
ASSAMENT,Assam Entrade Limited
ASTAR,Asian Star Company Limited
ASTEC,Astec LifeSciences Limited
ASTERDM,Aster DM Quality Care Limited
ASTRAL,Astral Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ATALREAL,Atal Realtech Limited
ATAM,Atam Valves Limited
ATGL,Adani Total Gas Limited
ATHERENERG,Ather Energy Limited
ATL,Allcargo Terminals Limited
ATLANTAA,ATLANTAA LIMITED
ATLANTAELE,Atlanta Electricals Limited
ATLASCYCLE,Atlas Cycles (Haryana) Limited
ATUL,Atul Limited
ATULAUTO,Atul Auto Limited
AUBANK,AU Small Finance Bank Limited
AUGMONT,Augmont Enterprises Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AURUM,Aurum PropTech Limited
AURUS,AURUS GEM CORPORATION LIMITED
AUSOMENT,Ausom Enterprise Limited
AUSTENG,Austin Engineering Company  Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVALON,Avalon Technologies Limited
AVANCE,Avance Technologies Limited
AVANTEL,Avantel Limited
AVANTIFEED,Avanti Feeds Limited
AVL,Aditya Vision Limited
AVONMORE,Avonmore Capital & Management Services Limited
AVROIND,AVRO INDIA LIMITED
AVTNPL,AVT Natural Products Limited
AWFIS,Awfis Space Solutions Limited
AWHCL,Antony Waste Handling Cell Limited
AWL,AWL Agri Business Limited
AXISBANK,Axis Bank Limited
AXISCADES,AXISCADES Technologies Limited
AXITA,Axita Cotton Limited
AXTEL,Axtel Industries Limited
AYE,Aye Finance Limited
AYMSYNTEX,AYM Syntex Limited
AZAD,Azad Engineering Limited
AZADIND,Azad India Mobility Limited
BAGFILMS,B.A.G Films and Media Limited
BAIDFIN,Baid Finserv Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHCARE,Bajaj Healthcare Limited
BAJAJHFL,Bajaj Housing Finance Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJAJINDEF,Indef Manufacturing Limited
BAJAJST,Bajaj Steel Industries Limited
BAJEL,Bajel Projects Limited
BAJFINANCE,Bajaj Finance Limited
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,Balkrishna Paper Mills Limited
BALKRISIND,Balkrishna Industries Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BALUFORGE,Balu Forge Industries Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (I) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKA,Banka BioLoo Limited
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BANSALWIRE,Bansal Wire Industries Limited
BANSWRAS,Banswara Syntex Limited
BASF,BASF India Limited
BATAINDIA,Bata India Limited
BATLIBOI,Batliboi Limited
BAYERCROP,Bayer Cropscience Limited
BBL,Bharat Bijlee Limited
BBOX,Black Box Limited
BBTC,The Bombay Burmah Trading Corporation Limited
BBTCL,B&B Triplewall Containers Limited
BCG,Brightcom Group Limited
BCLIND,Bcl Industries Limited
BCONCEPTS,Brand Concepts Limited
BCPL,BCPL Railway Infrastructure Limited
BDL,Bharat Dynamics Limited
BEARDSELL,Beardsell Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
BEDMUTHA,Bedmutha Industries Limited
BEEKAY,Beekay Steel Industries Limited
BEL,Bharat Electronics Limited
BELLACASA,Bella Casa Fashion & Retail Limited
BELRISE,Belrise Industries Limited
BEML,BEML Limited
BENARAS,Benares Hotels Limited
BENGALASM,Bengal & Assam Company Limited
BEPL,Bhansali Engineering Polymers Limited
BERGEPAINT,Berger Paints (I) Limited
BESTAGRO,Best Agrolife Limited
BETA,Beta Drugs Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATCOAL,Bharat Coking Coal Limited
BHARATFORG,Bharat Forge Limited
BHARATRAS,Bharat Rasayan Limited
BHARATSE,Bharat Seats Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHARTIHEXA,Bharti Hexacom Limited
BHEL,Bharat Heavy Electricals Limited
BIGBLOC,Bigbloc Construction Limited
BIKAJI,Bikaji Foods International Limited
BIL,Bhartiya International Limited
BIMETAL,Bimetal Bearings Limited
BIOCON,Biocon Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLAMONEY,Aditya Birla Money Limited
BIRLANU,BirlaNu Limited
BIRLAPREC,Birla Precision Technologies Limited
BLACKBUCK,BLACKBUCK LIMITED
BLAL,BEML Land Assets Limited
BLBLIMITED,BLB Limited
BLEL,Behari Lal Engineering Limited
BLIL,Balmer Lawrie Investments Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
BLS,BLS International Services Limited
BLSE,BLS E-Services Limited
BLUECLOUDS,Blue Cloud Softech Solutions Limited
BLUECOAST,Blue Coast Hotels Limited
BLUEDART,Blue Dart Express Limited
BLUEJET,Blue Jet Healthcare Limited
BLUESTARCO,Blue Star Limited
BLUESTONE,BlueStone Jewellery and Lifestyle Limited
BLUSPRING,Bluspring Enterprises Limited
BMWVENTLTD,BMW Ventures Limited
BNAGROCHEM,BN Agrochem Limited
BODALCHEM,Bodal Chemicals Limited
BOHRAIND,Bohra Industries Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BONLON,Bonlon Industries Limited
BORANA,Borana Weaves Limited
BOROLTD,Borosil Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
BOROSCI,Borosil Scientific Limited
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BPL,BPL Limited
BPLPHARMA,Bharat Parenterals Limited
BRAHMINFRA,Brahmaputra Infrastructure Limited
BRIGADE,Brigade Enterprises Limited
BRIGHOTEL,Brigade Hotel Ventures Limited
BRIGHTBR,Bright Brothers Limited
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BSL,BSL Limited
BSOFT,BIRLASOFT LIMITED
BTML,Bodhi Tree Multimedia Limited
BUILDPRO,Shankara Buildpro Limited
BURNPUR,Burnpur Cement Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
BVCL,Barak Valley Cements Limited
CAMLINFINE,Camlin Fine Sciences Limited
CAMPUS,Campus Activewear Limited
CAMS,Computer Age Management Services Limited
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Limited
CANHLIFE,Canara HSBC Life Insurance Company Limited
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPILLARY,Capillary Technologies India Limited
CAPITALSFB,Capital Small Finance Bank Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CARBORUNIV,Carborundum Universal Limited
CARERATING,CARE Ratings Limited
CARRARO,Carraro India Limited
CARTRADE,Cartrade Tech Limited
CARYSIL,CARYSIL LIMITED
CASTROLIND,Castrol India Limited
CCAVENUE,AvenuesAI Limited
CCCL,Consolidated Construction Consortium Limited
CCHHL,Country Club Hospitality & Holidays Limited
CCL,CCL Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,CEAT Limited
CEIGALL,Ceigall India Limited
CEINSYS,Ceinsys Tech Limited
CELEBRITY,Celebrity Fashions Limited
CELLO,Cello World Limited
CEMPRO,Cemindia Projects Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CERA,Cera Sanitaryware Limited
CESC,CESC Limited
CEWATER,Concord Enviro Systems Limited
CFEL,Confidence Futuristic Energetech Limited
CGCL,Capri Global Capital Limited
CGPOWER,CG Power and Industrial Solutions Limited
CGVAK,CG Vak Software & Exports Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHEMBOND,Chembond Material Technologies Limited
CHEMCRUX,Chemcrux Enterprises Limited
CHEMFAB,Chemfab Alkalis Limited
CHEMPLASTS,Chemplast Sanmar Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHEVIOT,Cheviot Company Limited
CHOICEIN,Choice International Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIEINDIA,CIE Automotive India Limited
CIFL,Capital India Finance Limited
CINELINE,Cineline India Limited
CINEVISTA,Cinevista Limited
CIPLA,Cipla Limited
CLEAN,Clean Science and Technology Limited
CLEANMAX,Clean Max Enviro Energy Solutions Limited
CLEDUCATE,CL Educate Limited
CLSEL,Chaman Lal Setia Exports Limited
CMLL,Caliber Mining and Logistics Limited
CMPDI,Central Mine Planning & Design Institute Limited
CMRGREEN,CMR Green Technologies Limited
CMSINFO,CMS Info Systems Limited
CNL,Creative Newtech Limited
COALINDIA,Coal India Limited
COASTCORP,Coastal Corporation Limited
COCHINSHIP,Cochin Shipyard Limited
COCKERILL,John Cockerill India Limited
COFFEEDAY,Coffee Day Enterprises Limited
COFORGE,Coforge Limited
COHANCE,Cohance Lifesciences Limited
COLPAL,Colgate Palmolive (India) Limited
COMFINTE,Comfort Intech Limited
COMPEAU,Competent Automobiles Company Limited
COMPUSOFT,Compucom Software Limited
COMSYN,Commercial Syn Bags Limited
CONCOR,Container Corporation of India Limited
CONCORDBIO,Concord Biotech Limited
CONFIPET,Confidence Petroleum India Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance & Housing Limited
CORDELIA,Waterways Leisure Tourism Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
CORONA,CORONA Remedies Limited
COSMOFIRST,COSMO FIRST LIMITED
CPCAP,CP Capital Limited
CPEDU,Career Point Edutech Limited
CPL,Captain Polyplast Limited
CPPLUS,Aditya Infotech Limited
CRAFTSMAN,Craftsman Automation Limited
CRAMC,Canara Robeco Asset Management Company Limited
CRAVATEX,Cravatex Limited
CREATIVEYE,Creative Eye Limited
CREDITACC,CREDITACCESS GRAMEEN LIMITED
CREST,Crest Ventures Limited
CRISIL,Crisil Limited
CRIZAC,Crizac Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CROWN,Crown Lifters Limited
CSBBANK,CSB Bank Limited
CSLFINANCE,CSL Finance Limited
CSM,CSM Technologies Limited
CUB,City Union Bank Limited
CUBEXTUB,Cubex Tubings Limited
CUMMINSIND,Cummins India Limited
CUPID,Cupid Limited
CURAA,Cura Technologies Limited
CYBERMEDIA,Cyber Media (India) Limited
CYIENT,Cyient Limited
CYIENTDLM,Cyient DLM Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DAMCAPITAL,Dam Capital Advisors Limited
DANGEE,Dangee Dums Limited
DATAMATICS,Datamatics Global Services Limited
DATAPATTNS,Data Patterns (India) Limited
DAVANGERE,Davangere Sugar Company Limited
DBCORP,D.B.Corp Limited
DBEIL,Deepak Builders & Engineers India Limited
DBL,Dilip Buildcon Limited
DBOL,Dhampur Bio Organics Limited
DBREALTY,Valor Estate Limited
DCAL,Dishman Carbogen Amcis Limited
DCBBANK,DCB Bank Limited
DCI,Dc Infotech And Communication Limited
DCMFINSERV,DCM Financial Services Limited
DCMNVL,DCM Nouvelle Limited
DCMSHRIRAM,DCM Shriram Limited
DCMSIL,DCM Shriram International Limited
DCMSRIND,DCM Shriram Industries Limited
DCW,DCW Limited
DCXINDIA,DCX Systems Limited
DDEVPLSTIK,Ddev Plastiks Industries Limited
DECCANCE,Deccan Cements Limited
DECNGOLD,Deccan Gold Mines Limited
DEEDEV,DEE Development Engineers Limited
DEEP,Deep Polymers Limited
DEEPA,Deepa Jewellers Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPINDS,Deep Industries Limited
DELHIVERY,Delhivery Limited
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DEN,Den Networks Limited
DENORA,De Nora India Limited
DENTA,Denta Water and Infra Solutions Limited
DEVIT,Dev Information Technology Limited
DEVX,Dev Accelerator Limited
DEVYANI,Devyani International Limited
DGCONTENT,Digicontent Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANUKA,Dhanuka Agritech Limited
DHARMAJ,Dharmaj Crop Guard Limited
DHATRE,Dhatre Udyog Limited
DHOOTTRANS,Dhoot Transmission Limited
DHRUV,Dhruv Consultancy Services Limited
DHUNINV,Dhunseri Investments Limited
DIAMINESQ,Diamines & Chemicals Limited
DIAMONDYD,Prataap Snacks Limited
DICIND,DIC India Limited
DIFFNKG,Diffusion Engineers Limited
DIGIDRIVE,Digidrive Distributors Limited
DIGISPICE,DiGiSPICE Technologies Limited
DIGITIDE,Digitide Solutions Limited
DIGJAMLMTD,Digjam Limited
DISAQ,Disa India Limited
DISHTV,Dish TV India Limited
DIVGIITTS,Divgi Torqtransfer Systems Limited
DIVISLAB,Divi's Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DJML,DJ Mediaprint & Logistics Limited
DLF,DLF Limited
DLINKINDIA,D-Link (India) Limited
DMART,Avenue Supermarts Limited
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA,Diligent Media Corporation Limited
DODLA,Dodla Dairy Limited
DOLATALGO,Dolat Algotech Limited
DOLLAR,Dollar Industries Limited
DOLPHIN,Dolphin Offshore Enterprises (India) Limited
DOMS,DOMS Industries Limited
DONEAR,Donear Industries Limited
DPABHUSHAN,D. P. Abhushan Limited
DRAGARWQ,Dr Agarwals Eye Hospital Limited
DRCSYSTEMS,DRC Systems India Limited
DREAMFOLKS,Dreamfolks Services Limited
DREDGECORP,Dredging Corporation of India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
DSSL,Dynacons Systems & Solutions Limited
DUCON,Ducon Infratechnologies Limited
DVL,Dhunseri Ventures Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DYCL,Dynamic Cables Limited
DYNAMATECH,Dynamatic Technologies Limited
DYNPRO,Dynemic Products Limited
EASEMYTRIP,Easy Trip Planners Limited
EASTWEST,East West Freight Carriers Limited
EBGNG,GNG Electronics Limited
ECLERX,eClerx Services Limited
ECORECO,Eco Recycling Limited
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited
EDELWEISS,Edelweiss Financial Services Limited
EFCIL,EFC (I) Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,EID Parry India Limited
EIEL,Enviro Infra Engineers Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIMCOELECO,Eimco Elecon (India) Limited
EKC,Everest Kanto Cylinder Limited
EKI,EKI Energy Services Limited
ELANTAS,Elantas Beck India Limited
ELCIDIN,EL CID Investments Limited
ELDEHSG,Eldeco Housing And Industries Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
ELIN,Elin Electronics Limited
ELITECON,Elitecon International Limited
ELLEN,Ellenbarrie Industrial Gases Limited
ELPROINTL,Elpro International Limited
EMAMILTD,Emami Limited
EMAMIREAL,Emami Realty Limited
EMBDL,Embassy Developments Limited
EMCURE,Emcure Pharmaceuticals Limited
EMIL,Electronics Mart India Limited
EMKAY,Emkay Global Financial Services Limited
EMMVEE,Emmvee Photovoltaic Power Limited
EMPIND,Empire Industries Limited
EMPOWER,Empower India Limited
EMSLIMITED,EMS Limited
EMUDHRA,eMudhra Limited
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
ENKEIWHEL,Enkei Wheels (India) Limited
ENRIN,Siemens Energy India Limited
ENTERO,Entero Healthcare Solutions Limited
EPACK,EPACK Durable Limited
EPACKPEB,EPack Prefab Technologies Limited
EPIGRAL,Epigral Limited
EPL,EPL Limited
EQUITASBNK,Equitas Small Finance Bank Limited
ERIS,Eris Lifesciences Limited
ESABINDIA,Esab India Limited
ESCORTS,Escorts Kubota Limited
ESDS,ESDS Software Solution Limited
ESSARSHPNG,Essar Shipping Limited
ESSENTIA,Integra Essentia Limited
ESTER,Ester Industries Limited
ETERNAL,ETERNAL LIMITED
ETHOSLTD,Ethos Limited
EUREKAFORB,Eureka Forbes Limited
EUROBOND,Euro Panel Products Limited
EUROPRATIK,Euro Pratik Sales Limited
EVEREADY,Eveready Industries India Limited
EXCELINDUS,Excel Industries Limited
EXCELSOFT,Excelsoft Technologies Limited
EXICOM,Exicom Tele-Systems Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
EXXARO,Exxaro Tiles Limited
FABTECH,Fabtech Technologies Limited
FACT,Fertilizers and Chemicals Travancore Limited
FAZE3Q,Faze Three Limited
FCL,Fineotex Chemical Limited
FCSSOFT,FCS Software Solutions Limited
FDC,FDC Limited
FEDDERSHOL,Fedders Holding Limited
FEDERALBNK,The Federal Bank  Limited
FEDFINA,Fedbank Financial Services Limited
FERMENTA,Fermenta Biotech Limited
FIBERWEB,Fiberweb (India) Limited
FIEMIND,Fiem Industries Limited
FILATEX,Filatex India Limited
FILATFASH,Filatex Fashions Limited
FINCABLES,Finolex Cables Limited
FINEORG,Fine Organic Industries Limited
FINKURVE,Finkurve Financial Services Limited
FINOPB,Fino Payments Bank Limited
FINPIPE,Finolex Industries Limited
FIRSTCRY,Brainbees Solutions Limited
FISCHER,Fischer Medical Ventures Limited
FIVESTAR,Five-Star Business Finance Limited
FLAIR,Flair Writing Industries Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
FMNL,Future Market Networks Limited
FOODSIN,Foods & Inns Limited
FORCEMOT,FORCE MOTORS LTD
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FRACTAL,Fractal Analytics Limited
FREDUN,Fredun Pharmaceuticals Limited
FRONTSP,Frontier Springs Limited
FSL,Firstsource Solutions Limited
FUSION,Fusion Finance Limited
GABRIEL,Gabriel India Limited
GAEL,Gujarat Ambuja Exports Limited
GAIL,GAIL (India) Limited
GAJA,Gaja Alternative Asset Management Limited
GALAPREC,Gala Precision Engineering Limited
GALAXYSURF,Galaxy Surfactants Limited
GALLANTT,Gallantt Ispat Limited
GANDHAR,Gandhar Oil Refinery (India) Limited
GANDHITUBE,Gandhi Special Tubes Limited
GANECOS,Ganesha Ecosphere Limited
GANESHCP,Ganesh Consumer Products Limited
GANESHHOU,GANESH HOUSING LIMITED
GANGAFORGE,Ganga Forging Limited
GANGESSECU,Ganges Securities Limited
GARFIBRES,Garware Technical Fibres Limited
GARUDA,Garuda Construction and Engineering Limited
GATEWAY,Gateway Distriparks Limited
GAYAHWS,Gayatri Highways Limited
GAYAPROJ,Gayatri Projects Limited
GCSL,Gretex Corporate Services Limited
